#OTUId,86.AVd_148,87.AVd_150,89.AVd_166,90.AVd_167,93.AVd_292,94.AVd_296,95.AVd_298,118.AVd_290,mean_pd
OTU_24,1.3901236559999999,0.990916598,0.720409192,1.102700682,0.666709819,0.068487939,0.15478545,9.11723587,1.77642115075
OTU_30,,0.027525461,0.6123478139999999,0.532660499,0.6926014629999999,0.88273343,0.481554734,0.049930098,0.46847907128571425
OTU_38,0.937525257,0.79823837,0.986960594,0.504625736,0.627872354,0.091317251,0.15478545,2.666267226,0.84594902975
OTU_115,0.23438131399999998,0.116983209,0.7780419279999999,1.252219419,,0.517464424,1.513457735,0.23966447,0.6646017855714285
OTU_187,,,0.093653195,0.037379683999999996,0.051783287000000004,0.045658625999999994,0.034396767,,0.052574311799999995
OTU_66,1.0183463990000001,0.24772914899999998,,,0.757330572,1.4686857930000001,1.1436924929999999,,0.9271568812
OTU_11,0.040410571,,,,,,,0.039944078,0.0401773245
OTU_77,0.088903257,0.068813653,,,0.122985306,0.060878167999999996,0.05159515,,0.0786351068
OTU_208,,,,,,,,,
OTU_70,,,,,,,,0.069902137,0.069902137
OTU_100,0.032328457000000005,0.034406826,,,,,,,0.0333676415
OTU_193,0.040410571,0.027525461,,,,0.091317251,0.05159515,,0.05271210825
OTU_65,,,,,,,,,
OTU_62,0.080821143,,,,,,,,0.080821143
OTU_58,0.0565748,,,,,,,,0.0565748
OTU_167,0.7354724,0.825763832,,,3.178199236,0.441366715,0.5761458420000001,,1.1513896049999999
OTU_159,,,,,,,,,
OTU_207,,,,,,,,,
OTU_53,,0.075695018,,,,,,4.603555023,2.3396250205
OTU_112,0.088903257,0.151390036,,,,,,,0.12014664650000001
