OTU ,Classification,Identity
OTU_2,Alistipes senegalensis ,95%
OTU_54,Oscillibacter ruminantium,94%
OTU_200,Oscillibacter valericigenes,95%
OTU_204,Eisenbergiella massiliensis,96%
OTU_70,Eubacterium coprostanoligenes,95%
OTU_100,Acetatifactor muris,95%
OTU_69,Odoribacter splanchnicus,92%
OTU_62,Clostridium asparagiforme,94%
OTU_75,Millionella massiliensis,86%
OTU_124,Clostridium viride ,97%
OTU_146,Oscillibacter ruminantium,93%
OTU_191,Ihubacter massiliensis,97%
OTU_282,Lachnoclostridium pacaense,97%
OTU_109,Alistipes putredinis,96%
OTU_470,Oscillibacter ruminantium,93%
OTU_165,Anaerotaenia torta,96%
OTU_134,Alistipes timonensis,100%
OTU_184,Oscillibacter ruminantium,93%
OTU_112,Desulfovibrio arcticus,91%
