#OTUId,103.AVd_309,105.AVd_310,11.AVd_99,123.AVd_312,125.AVd_306,127.AVd_307,129.AVd_308,13.AVd_151,16.AVd_168,mean_pd
OTU_200,0.23862789,0.14821088300000002,,0.126310471,0.069577318,0.282885431,0.26367831199999997,,,0.18821505083333334
OTU_54,0.253542133,0.16938386600000002,,0.113679424,0.173943294,0.919377652,0.494396836,,,0.3540538675
OTU_2,16.58463833,19.66970146,,16.06669193,20.92537833,10.72607261,16.94133158,,,16.818969040000002
OTU_204,0.223713647,0.10586491599999999,,,,0.070721358,0.098879367,,,0.124794822
OTU_70,1.088739746,1.566800762,,1.187318429,1.217603061,1.673738802,1.120632828,,,1.309138938
OTU_100,0.417598807,0.33876773200000004,,0.164203612,0.139154636,0.353606789,0.36255768,,,0.2959815426666667
OTU_69,0.164056674,0.14821088300000002,,,,0.919377652,0.26367831199999997,,,0.37383088025
OTU_62,,0.232902816,,0.126310471,0.104365977,0.11786893,0.11535926199999999,,,0.1393614912
OTU_75,0.23862789,0.275248783,,0.202096754,0.34788658899999997,0.400754361,0.280158207,,,0.29079543066666663
OTU_124,0.104399702,0.10586491599999999,,0.037893141,0.156548965,0.282885431,0.098879367,,,0.131078587
OTU_146,0.984340045,0.423459665,,0.303145131,0.104365977,0.565770863,0.758075148,,,0.5231928048333333
OTU_191,0.059656972,,,0.17683466,0.19133762399999998,0.094295144,0.148319051,,,0.1340886902
OTU_282,0.134228188,,,0.050524188,0.034788659,0.047147572,0.082399473,,,0.069817616
OTU_109,2.535421327,2.074952361,,2.084122774,2.365628805,1.131541726,1.763348715,,,1.9925026179999998
OTU_470,0.134228188,0.08469193300000001,,0.050524188,,0.070721358,0.06591957799999999,,,0.08121704900000001
OTU_165,0.477255779,0.211729833,,0.113679424,0.069577318,0.21216407399999998,0.06591957799999999,,,0.19172100099999997
OTU_134,1.208053691,1.355070929,,2.008336491,1.2002087320000001,1.1786892979999999,1.549110086,,,1.4165782044999997
OTU_184,0.044742729,,,0.037893141,,,0.082399473,,,0.055011781
OTU_112,0.313199105,0.06351895,,0.050524188,0.121760306,0.306459217,0.46143704700000004,,,0.2194831355
