#OTUId,101.AVd_295,30.AVd_148,34.AVd_166,38.AVd_292,44.AVd_150,48.AVd_167,52.AVd_296,53.AVd_298,mean_pd
OTU_200,,0.05676442762535476,0.03185220576524924,0.07265933153414987,0.16117478510028654,0.062315002336812586,,,0.0769531504723706
OTU_54,,0.11352885525070955,,,0.08058739255014327,,,,0.09705812390042641
OTU_2,0.03361344537815126,,,,0.053724928366762174,,,,0.04366918687245672
OTU_204,,0.03784295175023652,,,0.12535816618911175,,0.037678975131876416,,0.06696003102374157
OTU_70,,,,0.03113971351463567,,,,,0.03113971351463567
OTU_100,,,,,0.2238538681948424,,,,0.2238538681948424
OTU_69,,0.13245033112582782,,,0.2238538681948424,,,,0.17815209966033513
OTU_62,,,,,0.026862464183381087,,,,0.026862464183381087
OTU_75,,0.03784295175023652,,,0.6088825214899714,,,,0.32336273662010395
OTU_124,,0.0946073793755913,,,0.04477077363896848,,0.2888721426777192,0.20355083116589395,0.15795028171454323
OTU_146,,0.07568590350047304,,,0.8327363896848138,,0.1004772670183371,0.06785027705529798,0.2691874593147305
OTU_191,,0.05676442762535476,,,0.10744985673352436,,,,0.08210714217943957
OTU_282,,,,,,,,,
OTU_109,,0.7757805108798487,,,0.14326647564469913,,,,0.45952349326227393
OTU_470,,0.0946073793755913,,,0.2328080229226361,,,,0.1637077011491137
OTU_165,,,,,0.13431232091690545,,,,0.13431232091690545
OTU_134,,0.26490066225165565,,,0.06267908309455587,,,,0.16378987267310577
OTU_184,,,,,0.06267908309455587,,,,0.06267908309455587
OTU_112,,0.0946073793755913,,,0.5372492836676218,,,,0.31592833152160654
