OTU ,Mean_NT
OTU_2 Alistipes senegalensis  0.95,0.188215051
OTU_54 Oscillibacter ruminantium 0.94,0.308641367
OTU_200 Oscillibacter valericigenes 0.95,16.81896904
OTU_204 Eisenbergiella massiliensis 0.96,0.124794822
OTU_70 Eubacterium coprostanoligenes 0.95,1.125691412
OTU_100 Acetatifactor muris 0.95,0.259056948
OTU_69 Odoribacter splanchnicus 0.92,0.37383088
OTU_62 Clostridium asparagiforme 0.94,0.139361491
OTU_75 Millionella massiliensis 0.86,0.290795431
OTU_124 Clostridium viride  0.97,0.119497718
OTU_146 Oscillibacter ruminantium 0.93,0.400041181
OTU_191 Ihubacter massiliensis 0.97,0.13408869
OTU_282 Lachnoclostridium pacaense 0.97,0.069817616
OTU_109 Alistipes putredinis 0.96,1.992502618
OTU_470 Oscillibacter ruminantium 0.93,0.081217049
OTU_165 Anaerotaenia torta 0.96,0.191721001
OTU_134 Alistipes timonensis 1,1.416578205
OTU_184 Oscillibacter ruminantium 0.93,0.048155388
OTU_112 Desulfovibrio arcticus 0.91,0.211348493
