#OTUId,AVd101_295,AVd34_166,AVd38_292,AVd48_167,AVd50_170,AVd52_296,AVd53_298,AVd99_290
OTU_15,11.05882353,2.834846313,0.83039236,5.06309394,43.47591661,1.218286863,0.983829017,2.124768376
OTU_200,0.016806723,0.031852206,0.072659332,0.062315002,0,0.012559658,0.01130838,0
OTU_54,0,0,0,0,0,0.012559658,0,0
OTU_2,0.033613445,0,0,0,0,0,0,0
OTU_91,0,0,0.051899523,0,0,0.012559658,0,0
OTU_11,0,0,0,0,0,0,0,0
OTU_85,0,0,0,0,0,0.38934941,0.033925139,0
OTU_70,0,0,0.031139714,0,0,0,0.01130838,0
OTU_100,0,0,0.010379905,0,0,0,0,0
OTU_69,0,0,0,0,0,0,0,0
OTU_62,0,0,0,0.015578751,0,0,0,0
OTU_75,0,0,0,0,0,0,0,0
OTU_124,0,0,0.020759809,0,0,0.288872143,0.203550831,0
OTU_191,0,0,0,0,0,0,0,0
OTU_282,0,0,0,0,0,0,0,0
OTU_109,0,0,0,0,0,0,0,0
OTU_134,0,0,0,0,0,0,0,0
OTU_112,0,0,0.020759809,0,0,0.012559658,0,0.024706609
OTU_464,0,0,0.031139714,0,0,0,0,0
