#OTUId,81.AVd_108,83.AVd_109,85.AVd_110,86.AVd_148,87.AVd_150,88.AVd_154,89.AVd_166,90.AVd_167,92.AVd_170,93.AVd_292,94.AVd_296,95.AVd_298,111.AVd_312,112.AVd_306,113.AVd_307,114.AVd_308,118.AVd_290
OTU_24,11.61576612,11.33769878,11.43748375,1.390123656,0.990916598,1.41634981,0.720409192,1.102700682,3.051800294,0.666709819,0.068487939,0.15478545,1.13085622,1.216030454,1.478523635,1.97666111,9.11723587
OTU_30,4.054641956,5.61272217,5.675418075,0.016164229,0.027525461,0.142585551,0.612347814,0.532660499,1.345201446,0.692601463,0.88273343,0.481554734,1.525758392,0.602728138,0.38851716,0.559657061,0.049930098
OTU_38,0.017401897,0.009354537,0,0.937525257,0.79823837,0.275665399,0.986960594,0.504625736,0.495248293,0.627872354,0.091317251,0.15478545,0.323101777,0.169186846,0.280595726,0.392950703,2.666267226
OTU_115,0,0,0,0.234381314,0.116983209,0.02851711,0.778041928,1.252219419,0.588943916,0,0.517464424,1.513457735,0.107700592,0.105741779,0.086337147,0.154798762,0.23966447
OTU_187,0.008700948,0,0,0,0,0,0.093653195,0.037379684,0.093695623,0.051783287,0.045658626,0.034396767,0.197451086,0.274928624,0.172674293,0.297689926,0
OTU_66,0.017401897,0,0,1.018346399,0.247729149,0,0,0,0,0.757330572,1.468685793,1.143692493,0,0,0,0,0
OTU_11,0,0,0,0.040410571,0,0,0,0,0,0,0,0,1.27445701,0.845934229,1.413770775,0.381043106,0.039944078
OTU_77,0.026102845,0.018709074,0,0.088903257,0.068813653,0.057034221,0,0,0,0.122985306,0.060878168,0.05159515,0.251301382,0.243206091,0.3237643,0.452488688,0.00998602
OTU_208,0,0,0,0,0,0.076045627,0,0,0,0,0,0,0.251301382,0.243206091,0.312972156,0.607287449,0
OTU_70,0,0,0,0,0,0,0,0,0,0,0,0,0.861604739,1.015121074,0.302180013,0.381043106,0.069902137
OTU_100,0.017401897,0,0,0.032328457,0.034406826,0,0,0,0,0,0,0,1.256506911,0.327799514,0.22663501,0.309597523,0
OTU_193,0,0,0,0.040410571,0.027525461,0.057034221,0,0,0,0,0.091317251,0.05159515,0.161550889,0.14803849,0.16188215,0.226244344,0.00998602
OTU_65,0,0,0,0,0.006881365,0.076045627,0,0,0,0,0,0,0,0,0,0,0
OTU_62,0,0,0,0.080821143,0.006881365,0,0,0,0,0,0,0,0.017950099,0,0,0,0
OTU_58,0,0,0,0.0565748,0.020644096,0.760456274,0,0.009344921,0,0.019418733,0.007609771,0,0.682103752,1.046843608,0.938916469,1.131221719,0
OTU_167,0,0,0,0.7354724,0.825763832,0,0,0,0,3.178199236,0.441366715,0.576145842,0.125650691,0.052870889,0.09712929,0.095260776,0
OTU_159,0,0,0,0,0,0,0,0,0,0,0,0,0.394902172,0.486412181,0.22663501,0.488211479,0
OTU_207,0,0,0,0,0,0,0,0,0,0,0,0,1.27445701,0.359522047,0.485646449,0.857346987,0
OTU_53,0,0,0,0.024246343,0.075695018,2.385931559,0,0,0,0,0.007609771,0,0.359001975,0.475838004,0.841787179,0.476303882,4.603555023
OTU_112,0.104411381,0,0,0.088903257,0.151390036,0.209125475,0,0,0,0,0,0,0.789804344,0.433541292,0.453270019,0.32150512,0.00998602
