OTU,Mean_NT,Mean_T
OTU_100 Acetatifactor muris 95%,4.962352241,1.776421151
OTU_11 Clostridium saccharolyticum 96%,2.211914439,0.468479071
OTU_112 Desulfovibrio arcticus 91%,0.322791457,0.84594903
OTU_115 Anaerotruncus colihominis 92%,0.178673218,0.664601786
OTU_159 Muricomes intestini 98%,0.20728791,0.052574312
OTU_167 Acetatifactor muris 94%,0,0.927156881
OTU_187 Intestinimonas butyriciproducens  96%,0.97880128,0.040177325
OTU_193 Clostridium asparagiforme 97%,0.225649588,0.078635107
OTU_207 Eisenbergiella massiliensis 98%,0.298162541,0
OTU_208 Acetatifactor muris 91%,0.639987233,0.069902137
OTU_24 Clostridium scindens 99%,0.53013474,0.033367642
OTU_30 Lachnoclostridium pacaense 96%,0.150950019,0.052712108
OTU_38 Clostridium indolis 90%,0.076045627,0
OTU_53 Clostridium indolis 91%,0,0.080821143
OTU_58 Butyricicoccus pullicaecorum 95%,0.911908364,0.0565748
OTU_62 Clostridium asparagiforme 94%,0.092727912,1.151389605
OTU_65 Muribaculum intestinale 90%,0.399040211,0
OTU_66 Clostridium indolis 93%,0.744243123,0
OTU_70 Eubacterium coprostanoligenes 95%,0.90777252,2.339625021
OTU_77 Intestinimonas butyriciproducens 93%,0.385276272,0.120146647
