OTU,Mean_NT
OTU_100 Acetatifactor muris 0.95,4.962352241
OTU_11 Clostridium saccharolyticum/aerotolerans 0.96,2.211914439
OTU_112 Desulfovibrio arcticus 0.91,0.322791457
OTU_115 Anaerotruncus colihominis/Clostridium methylpentosum 0.92,0.178673218
OTU_159 Muricomes intestini 0.98,0.20728791
OTU_167 Acetatifactor muris 0.94,0
OTU_187 Intestinimonas butyriciproducens/Clostridium viride  0.96,0.97880128
OTU_193 Clostridium asparagiforme 0.97,0.225649588
OTU_207 Eisenbergiella massiliensis 0.98,0.298162541
OTU_208 Acetatifactor muris 0.91,0.639987233
OTU_24 Clostridium scindens 0.99,0.53013474
OTU_30 Lachnoclostridium pacaense 0.96,0.150950019
OTU_38 Clostridium indolis 0.9,0.076045627
OTU_53 Clostridium indolis 0.91,0
OTU_58 Butyricicoccus pullicaecorum 0.95,0.911908364
OTU_62 Clostridium asparagiforme 0.94,0.092727912
OTU_65 Muribaculum intestinale 0.9,0.399040211
OTU_66 Clostridium indolis 0.93,0.744243123
OTU_70 Eubacterium coprostanoligenes 0.95,0.90777252
OTU_77 Intestinimonas butyriciproducens 0.93,0.385276272
