OTU,Prevalence_T
OTU_100 Acetatifactor muris 0.95,100
OTU_11 Clostridium saccharolyticum/aerotolerans 0.96,87.5
OTU_112 Desulfovibrio arcticus 0.91,100
OTU_115 Anaerotruncus colihominis/Clostridium methylpentosum 0.92,87.5
OTU_159 Muricomes intestini 0.98,62.5
OTU_167 Acetatifactor muris 0.94,62.5
OTU_187 Intestinimonas butyriciproducens/Clostridium viride  0.96,25
OTU_193 Clostridium asparagiforme 0.97,62.5
OTU_207 Eisenbergiella massiliensis 0.98,0
OTU_208 Acetatifactor muris 0.91,12.5
OTU_24 Clostridium scindens 0.99,25
OTU_30 Lachnoclostridium pacaense 0.96,50
OTU_38 Clostridium indolis 0.9,0
OTU_53 Clostridium indolis 0.91,12.5
OTU_58 Butyricicoccus pullicaecorum 0.95,12.5
OTU_62 Clostridium asparagiforme 0.94,62.5
OTU_65 Muribaculum intestinale 0.9,0
OTU_66 Clostridium indolis 0.93,0
OTU_70 Eubacterium coprostanoligenes 0.95,25
OTU_77 Intestinimonas butyriciproducens 0.93,25
