OTU ,Prevalence_NT
OTU_2 Alistipes senegalensis  0.95,60
OTU_54 Oscillibacter ruminantium 0.94,70
OTU_200 Oscillibacter valericigenes 0.95,60
OTU_204 Eisenbergiella massiliensis 0.96,40
OTU_70 Eubacterium coprostanoligenes 0.95,70
OTU_100 Acetatifactor muris 0.95,70
OTU_69 Odoribacter splanchnicus 0.92,40
OTU_62 Clostridium asparagiforme 0.94,50
OTU_75 Millionella massiliensis 0.86,60
OTU_124 Clostridium viride  0.97,70
OTU_146 Oscillibacter ruminantium 0.93,80
OTU_191 Ihubacter massiliensis 0.97,50
OTU_282 Lachnoclostridium pacaense 0.97,50
OTU_109 Alistipes putredinis 0.96,60
OTU_470 Oscillibacter ruminantium 0.93,60
OTU_165 Anaerotaenia torta 0.96,60
OTU_134 Alistipes timonensis 1,60
OTU_184 Oscillibacter ruminantium 0.93,40
OTU_112 Desulfovibrio arcticus 0.91,70
