OTU,81.AVd_108,83.AVd_109,85.AVd_110,88.AVd_154,111.AVd_312,112.AVd_306,113.AVd_307,114.AVd_308,86.AVd_148,87.AVd_150
OTU_24,11.61576612,11.33769878,11.43748375,1.41634981,1.13085622,1.216030454,1.478523635,1.97666111,1.390123656,0.990916598
OTU_30,4.054641956,5.61272217,5.675418075,0.142585551,1.525758392,0.602728138,0.38851716,0.559657061,0.016164229,0.027525461
OTU_38,0.017401897,0.009354537,0,0.275665399,0.323101777,0.169186846,0.280595726,0.392950703,0.937525257,0.79823837
OTU_115,0,0,0,0.02851711,0.107700592,0.105741779,0.086337147,0.154798762,0.234381314,0.116983209
OTU_187,0.008700948,0,0,0,0.197451086,0.274928624,0.172674293,0.297689926,0,0
OTU_66,0.017401897,0,0,0,0,0,0,0,1.018346399,0.247729149
OTU_11,0,0,0,0,1.27445701,0.845934229,1.413770775,0.381043106,0.040410571,0
OTU_77,0.026102845,0.018709074,0,0.057034221,0.251301382,0.243206091,0.3237643,0.452488688,0.088903257,0.068813653
OTU_208,0,0,0,0.076045627,0.251301382,0.243206091,0.312972156,0.607287449,0,0
OTU_70,0,0,0,0,0.861604739,1.015121074,0.302180013,0.381043106,0,0
OTU_100,0.017401897,0,0,0,1.256506911,0.327799514,0.22663501,0.309597523,0.032328457,0.034406826
OTU_193,0,0,0,0.057034221,0.161550889,0.14803849,0.16188215,0.226244344,0.040410571,0.027525461
OTU_65,0,0,0,0.076045627,0,0,0,0,0,0.006881365
OTU_62,0,0,0,0,0.017950099,0,0,0,0.080821143,0.006881365
OTU_58,0,0,0,0.760456274,0.682103752,1.046843608,0.938916469,1.131221719,0.0565748,0.020644096
OTU_167,0,0,0,0,0.125650691,0.052870889,0.09712929,0.095260776,0.7354724,0.825763832
OTU_159,0,0,0,0,0.394902172,0.486412181,0.22663501,0.488211479,0,0
OTU_207,0,0,0,0,1.27445701,0.359522047,0.485646449,0.857346987,0,0
OTU_53,0,0,0,2.385931559,0.359001975,0.475838004,0.841787179,0.476303882,0.024246343,0.075695018
OTU_112,0.104411381,0,0,0.209125475,0.789804344,0.433541292,0.453270019,0.32150512,0.088903257,0.151390036
