OTU	102_AVd_295	41_AVd_109	20_AVd_293	13_AVd_151	121_AVd_310	109_AVd_307	77_AVd_299	103_AVd_309	34_AVd_166	107_AVd_312	12_AVd_99	117_AVd_290	59_AVd_100	94_AVd_296	66_AVd_168	51_AVd_170	45_AVd_150	23_AVd_299	95_AVd_298	88_AVd_154	65_AVd_153	90_AVd_167	17_AVd_168	111_AVd_312	52_AVd_296	86_AVd_148	19_AVd_171	29_AVd_153	115_AVd_294	25_AVd_108	35_AVd_166	72_AVd_293	61_AVd_151	42_AVd_110	110_AVd_308	127_AVd_307	14_AVd_151	78_AVd_291	108_AVd_306	21_AVd_293	93_AVd_292	18_AVd_171	58_AVd_99	118_AVd_290	37_AVd_291	106_AVd_310	22_AVd_299	47_AVd_154	39_AVd_292	130_AVd_308	33_AVd_176	56_AVd_98	89_AVd_166	84_AVd_110	53_AVd_298	113_AVd_307	122_AVd_310	81_AVd_108	40_AVd_109	26_AVd_108	124_AVd_312	120_AVd_309	28_AVd_153	104_AVd_309	87_AVd_150	125_AVd_306	70_AVd_176	64_AVd_153	24_AVd_100	114_AVd_308	92_AVd_170	71_AVd_176	48_AVd_167	57_AVd_98	10_AVd_98	82_AVd_109	99_AVd_290	123_AVd_312	112_AVd_306	129_AVd_308	128_AVd_307	44_AVd_150	30_AVd_148	43_AVd_110	31_AVd_148	32_AVd_176	16_AVd_168	36_AVd_291	98_AVd_294	15_AVd_147	11_AVd_99	100_AVd_290	73_AVd_293	9_AVd_98	62_AVd_147	119_AVd_309	126_AVd_306	97_AVd_294	46_AVd_154	67_AVd_168	63_AVd_147	49_AVd_167	54_AVd_296	85_AVd_110	91_AVd_170	38_AVd_292	60_AVd_151	69_AVd_171	101_AVd_295	79_AVd_291	83_AVd_109	116_AVd_294	50_AVd_170	68_AVd_171	105_AVd_310	55_AVd_298	80_AVd_108	76_AVd_299
OTU_346	3895	0	0	0	2	1095	1	375	0	122	0	1666	0	0	1	1	5	0	0	0	1	0	1	80	0	25	0	0	2482	0	0	0	0	0	467	97	0	0	1029	1	0	0	0	2535	1	287	0	0	0	823	1	0	0	0	0	882	2	0	0	0	881	1371	0	698	13	54	2	0	0	437	0	1	1	0	0	0	67	331	989	263	203	711	52	0	7	0	0	0	2809	0	0	2294	1	0	0	1129	260	0	0	0	0	0	0	1	0	0	0	1	249	1	0	1280	0	2	196	1	0	0
OTU_21	618	0	0	1	60	90	0	229	56	384	0	534	0	0	61	1020	23	0	0	811	299	18	625	188	0	11	30	255	682	0	85	0	787	0	75	136	345	0	14	0	0	0	1	1134	1	93	0	181	1	116	97	0	55	0	0	47	47	0	0	0	2	33	0	247	18	68	98	380	0	68	130	46	235	0	0	0	710	35	17	191	181	291	41	0	28	1	44	0	3253	76	0	1519	0	0	282	32	107	0	0	25	1283	337	1	0	117	1	395	40	1	0	1	643	12	37	127	0	0	0
OTU_73	551	0	0	0	5	9	26	7	30	6	0	242	0	9	38	80	0	30	6	0	0	39	114	5	1	0	19	0	164	1	48	17	0	0	5	0	0	3	7	27	14	14	0	341	13	2	9	0	28	5	127	0	65	0	0	1	6	0	0	0	2	4	0	10	0	0	81	0	0	7	145	73	63	0	0	0	75	0	8	1	4	0	0	0	0	131	38	18	118	1	0	148	11	0	0	0	6	0	0	27	0	6	2	0	151	13	0	37	214	3	0	192	300	109	7	12	0	14
OTU_59	285	0	3	0	214	124	273	125	19	256	0	155	0	206	48	132	48	367	173	287	79	29	12	197	103	459	24	22	56	0	45	226	79	0	218	47	20	271	116	285	304	0	0	222	281	63	5	7	190	153	168	0	37	0	44	144	276	0	0	0	80	211	0	227	258	10	43	39	0	191	42	77	36	0	1	0	122	57	130	67	91	139	42	0	37	513	51	3	176	19	0	122	338	0	60	168	83	1	0	29	101	10	94	0	16	254	38	57	633	204	0	79	567	45	75	118	0	291
OTU_1	838	183	746	0	823	610	2114	66	2655	1454	777	914	450	2542	2162	2748	226	3612	4204	0	9	1666	1197	872	860	284	631	1	1807	9	1206	863	2	614	909	32	0	4684	1141	1625	3955	1	755	1446	3409	128	4713	3	1580	160	1808	1118	1533	875	598	426	871	592	875	3	247	977	1	205	882	7	5239	0	11	590	879	2242	3615	1018	644	471	743	56	1517	64	90	468	67	936	150	14	2959	806	672	0	0	526	1629	1	6	781	119	2	4	1230	2	563	1152	916	1223	229	2	2340	715	2646	553	1035	49	2028	69	1602	1178	2553
OTU_745	195	1	0	0	7	12	0	5	92	17	0	66	0	5	9	2	15	0	2	103	105	54	80	14	3	32	14	10	115	0	10	0	42	0	13	1	24	0	14	0	2	0	0	591	0	9	0	11	0	9	41	0	11	0	0	8	15	0	0	0	7	20	0	11	17	0	71	12	0	18	177	239	19	0	0	0	597	5	33	0	1	7	4	0	10	0	358	0	224	16	0	71	0	0	9	0	2	2603	0	95	60	0	0	0	16	0	11	184	71	3	0	495	0	188	4	1	0	2
OTU_41	2703	0	0	0	1	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1714	0	0	0	0	0	0	1	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1361	1	0	0	0	0	0	0	0	0	0	0	447	0	0	681	0	0	0	0	0	2463	0	0	0	0	0	0	0	0	0	0	1103	0	0	560	0	0	0	0	0	0
OTU_183	114	0	0	0	43	30	57	37	2	37	0	183	0	29	38	0	6	3	16	0	0	27	6	32	26	61	0	0	133	0	40	36	1	0	36	23	0	46	27	6	45	0	0	259	19	7	0	0	22	49	0	0	23	0	15	41	72	0	0	0	12	75	0	32	26	12	45	0	0	38	77	36	2	0	0	0	0	14	32	17	17	36	5	0	8	0	0	0	0	0	0	71	58	0	0	54	27	0	0	24	2	19	20	0	70	47	0	23	0	49	0	181	0	20	20	11	0	69
OTU_16	276	32	1027	0	3	5	7	5	33	2	95	40	165	6	29	5	3	6	9	5	0	17	35	2	60	20	201	0	81	5448	24	25	1	17	12	2	0	9	0	1	20	44	154	71	6	0	261	0	138	3	13	195	17	395	76	6	3	128	73	69	3	3	0	13	0	5	45	0	10360	6	42	16	22	135	32	96	94	6	8	4	10	0	2	53	5	166	38	248	13	0	435	36	5	155	0	2	6	2634	0	14	0	35	11	109	39	119	0	29	123	14	110	51	137	74	2	8	201	9
OTU_259	441	0	340	65	5	33	120	11	147	24	0	130	1	15	37	170	31	32	34	157	264	87	208	35	317	182	67	48	231	0	25	42	81	0	14	7	79	2	18	45	41	0	3	992	30	14	147	16	68	26	390	1	66	1	297	21	25	4	1	2	8	24	1	70	121	10	150	24	0	17	245	534	100	5	0	1	753	12	28	11	16	26	8	0	5	1	1107	13	376	60	0	170	251	7	24	2	75	2546	808	193	195	69	27	0	22	263	19	342	81	15	1	755	4	318	5	17	1	90
OTU_31	190	0	0	0	111	105	190	6	31	74	0	443	0	23	264	125	16	94	34	62	319	116	17	50	14	244	5	1	605	0	300	64	476	0	78	8	0	255	88	92	200	0	0	600	37	22	4	1	101	113	14	0	277	0	2	68	107	0	0	0	53	50	0	39	289	2	149	109	0	75	125	134	120	1	0	0	299	11	40	7	9	114	15	0	11	1	9	1	5	0	0	1473	95	0	279	83	45	0	0	134	369	193	5	0	147	17	227	153	121	213	1	506	2	113	8	21	0	177
OTU_4	855	0	4	1	523	161	2732	271	1351	66	0	244	1	1285	2355	1214	189	305	1230	86	654	1124	2612	82	13	2	563	172	1714	7	355	1149	136	1	679	342	152	3170	147	57	770	0	0	469	522	493	7	131	240	992	1506	0	919	1	3	187	554	0	0	6	517	503	0	661	16	45	5430	183	9	930	3153	2336	832	1	0	1	1789	452	339	295	262	785	246	1	13	0	2	3	2896	228	0	1116	2025	2	552	281	838	1	2	1529	290	419	560	4	3465	4	100	1934	1639	2598	0	1622	19	2033	348	746	1	3032
OTU_33	1170	0	0	0	95	182	0	0	0	150	0	926	0	0	0	0	27	0	0	606	168	0	0	45	0	4	0	53	1906	0	0	0	58	0	184	2	2	0	152	0	0	0	0	980	0	6	0	53	0	54	0	0	0	0	0	178	46	0	0	0	0	63	0	27	25	0	0	89	0	121	0	0	0	0	0	0	3253	0	129	1	26	79	3	0	7	0	0	0	864	62	0	1696	0	0	173	116	43	0	0	0	211	0	0	0	0	0	45	0	527	0	0	1577	0	0	5	0	0	0
OTU_20	601	0	0	0	58	26	0	25	443	28	0	259	0	0	621	373	84	0	0	195	367	513	138	29	0	1143	64	61	181	0	486	0	327	0	54	11	13	2	21	0	0	0	0	1843	13	96	1	21	1	208	451	0	360	0	0	5	44	0	0	0	178	43	0	93	1011	12	405	33	0	71	464	341	590	1	1	0	1501	21	44	15	33	209	11	1	60	1	559	3	1376	28	1	830	1	1	191	38	22	1002	0	555	374	193	0	3	349	1	100	846	1158	0	1	295	5	405	33	0	0	0
OTU_10	184	58	681	1332	100	113	711	41	200	182	755	71	626	9	278	356	7	170	31	8	528	1	202	190	212	4	74	89	342	1	1	227	452	194	129	51	89	117	21	99	6	133	493	225	80	4	719	68	50	54	313	599	0	391	106	146	378	385	178	0	20	438	0	32	37	17	585	79	1	144	4	1521	197	972	482	224	1239	24	50	73	30	101	9	219	27	1481	763	372	249	17	1	37	421	68	79	132	70	15	35	631	597	2	0	296	0	246	126	1467	443	365	355	537	850	1052	14	0	614	748
OTU_167	133	0	0	0	15	9	46	19	0	16	0	94	0	3	0	0	2	26	8	0	0	0	0	4	52	8	0	0	128	0	0	10	0	0	18	5	0	13	13	44	15	0	0	225	15	9	7	0	20	5	0	0	0	0	36	21	29	0	0	0	8	27	0	9	24	6	0	0	0	23	0	0	0	0	0	0	152	6	15	5	6	118	0	0	1	0	0	0	40	0	0	90	16	0	0	9	3	0	0	0	0	0	0	0	0	51	0	0	150	12	0	299	0	0	7	3	0	28
OTU_63	458	101	1004	2	3	4	11	5	52	2	191	26	156	1	30	19	15	13	0	31	19	9	42	2	16	9	46	16	135	406	36	42	12	54	4	3	6	5	9	8	10	0	141	28	3	9	404	11	59	1	31	322	10	182	19	3	3	85	270	490	2	5	2	8	3	8	72	45	1389	4	19	34	23	215	143	143	156	7	12	1	6	4	2	120	16	276	61	407	30	19	772	46	7	593	4	6	9	0	0	22	19	122	5	44	16	41	10	32	153	6	47	69	374	229	1	2	124	13
OTU_122	122	0	0	46	16	15	0	0	0	0	0	124	0	0	0	0	14	0	0	25	18	0	0	0	0	0	0	5	101	0	0	0	14	0	12	0	12	0	15	0	0	0	0	75	0	9	0	6	0	3	0	0	0	0	0	7	13	0	0	0	0	14	0	16	4	0	0	1	0	7	0	0	0	0	0	0	90	0	10	0	3	16	2	0	1	0	0	0	68	4	0	121	0	0	15	12	4	0	0	0	20	0	0	0	0	0	21	0	78	0	0	85	0	0	5	0	0	0
OTU_924	85	0	0	0	6	7	9	2	0	3	0	131	0	20	45	0	1	1	10	0	0	26	11	2	2	45	0	0	130	0	45	5	0	0	18	0	0	8	9	0	0	0	0	224	6	5	0	0	0	9	0	0	28	0	1	15	8	0	0	0	1	13	0	6	14	1	33	0	2	16	77	36	5	0	0	0	0	0	11	7	2	9	2	0	0	0	0	0	0	0	0	93	4	0	0	17	3	0	0	27	0	22	16	0	67	0	0	23	1	8	0	185	0	14	2	10	0	4
OTU_586	127	0	0	0	0	0	0	1	22	0	0	40	0	0	2	77	0	0	0	0	0	0	43	0	0	15	0	0	81	0	16	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	47	0	3	0	0	0	1	3	116	0	0	0	274	1	0	0	0	4	0	0	3	0	265	0	227	0	0	786	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	4	42	0	0	125	0	0	0	0	0	0
OTU_455	380	0	0	2	17	25	54	24	62	27	0	101	0	25	81	0	1	0	35	20	56	171	59	35	43	8	0	3	185	0	46	43	13	0	72	15	7	76	42	0	0	0	0	237	74	15	0	7	0	8	0	0	71	0	62	20	17	0	0	0	13	41	0	37	17	11	195	5	1	15	70	98	12	0	0	0	6	16	25	25	4	12	1	0	7	0	14	0	19	1	0	146	55	0	30	29	11	0	154	73	37	22	6	0	80	0	11	107	0	78	0	129	1	97	26	20	0	59
OTU_384	412	0	0	1	22	32	62	32	54	29	1	130	0	32	89	0	2	0	30	24	48	177	65	35	48	6	0	2	247	0	39	24	14	0	65	8	1	79	39	0	0	0	0	248	59	19	0	3	0	15	0	1	86	0	70	13	23	0	0	0	5	46	5	32	14	17	183	4	0	43	66	72	11	0	0	0	5	8	40	10	8	11	4	0	6	0	15	0	32	1	0	207	55	0	24	31	19	0	159	64	32	18	7	1	55	0	14	61	0	80	0	167	0	111	29	28	0	57
OTU_36	146	0	0	0	0	1	0	0	280	3	0	80	0	22	252	344	0	0	11	0	0	5	65	2	1	0	23	0	226	0	178	0	0	0	2	12	0	145	35	2	0	0	0	257	0	3	0	0	0	2	494	0	480	0	0	2	1	0	0	0	31	53	0	16	1	0	326	0	3	0	99	269	163	0	0	0	208	6	48	0	7	1	1	1	0	505	480	0	279	0	0	28	0	0	1	18	15	0	0	362	1	265	82	0	35	0	0	658	0	156	1	341	1020	405	14	15	0	0
OTU_429	205	0	1	0	77	51	57	29	18	34	0	87	0	65	28	78	16	131	25	54	82	19	7	22	78	99	16	23	26	0	26	53	64	0	35	16	5	138	21	71	134	1	0	148	56	6	2	5	50	56	134	0	24	0	23	43	102	0	0	0	25	69	0	58	101	7	35	21	0	38	35	54	30	0	0	0	85	12	39	16	31	95	41	0	4	386	57	1	133	18	0	77	82	1	73	50	18	0	0	25	136	7	37	1	14	158	36	52	440	99	0	56	402	37	30	21	0	68
OTU_88	387	77	0	0	0	2	0	2	0	1	64	17	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	3	0	79	0	1	0	0	0	0	0	0	179	41	0	3	0	0	0	0	0	125	0	84	0	0	0	35	36	0	2	4	0	0	0	0	0	0	0	0	0	0	0	116	76	50	74	14	0	4	0	0	0	62	0	0	0	0	13	0	93	39	0	76	0	0	3	599	0	0	0	0	0	35	0	0	0	0	58	0	53	36	0	0	1	0	23	0
OTU_309	280	111	1	1	640	280	0	23	144	1132	578	632	315	0	229	410	14	0	0	0	0	156	277	638	2	118	12	0	1261	2	378	3	2	516	419	7	0	0	3	0	0	0	492	901	0	17	0	0	0	39	5	834	164	628	1	144	682	433	630	0	90	202	0	71	565	0	185	1	0	293	290	43	121	695	573	393	569	19	2	18	37	300	36	706	9	0	1760	2	254	0	1	157	2	2	0	194	59	0	0	94	0	355	0	671	446	0	0	66	591	0	432	745	7	58	38	1	930	0
OTU_32	114	0	1	0	74	62	112	17	291	178	0	142	0	277	254	341	18	75	18	0	1	122	199	150	111	140	82	0	538	0	279	86	0	0	69	30	0	12	90	138	136	0	0	637	272	28	0	0	46	96	133	0	119	0	74	36	95	0	0	0	69	31	0	116	256	5	385	0	1	104	403	230	569	0	0	0	701	34	109	22	22	217	4	0	21	0	14	0	383	0	0	260	128	1	0	17	35	2	0	191	0	24	74	0	478	9	0	302	0	11	0	1143	9	157	22	140	0	98
OTU_100	106	0	62	0	0	0	0	0	1	0	0	4	0	0	0	0	0	38	0	0	0	0	62	0	172	0	0	0	0	0	0	17	0	0	0	11	0	0	3	13	0	0	0	10	12	1	1	0	0	2	0	0	0	0	864	1	0	0	0	0	0	1	0	8	0	0	0	0	0	2	0	2	38	0	0	0	0	0	1	29	9	8	58	0	0	0	2	3	0	0	0	0	4	0	0	0	15	0	0	6	0	0	0	0	1	12	0	2	0	0	0	0	0	3	19	0	0	0
OTU_132	101	0	0	0	12	7	0	0	0	7	0	80	0	0	0	0	2	0	0	0	0	0	0	5	0	16	0	0	101	0	0	0	0	0	0	3	0	0	3	0	0	0	0	122	0	0	0	0	0	4	0	0	0	0	0	15	20	0	0	0	3	17	0	5	3	0	0	0	0	13	0	0	0	0	0	0	0	1	14	1	3	0	0	0	2	0	0	0	104	0	0	82	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	32	0	0	100	0	0	0	0	0	0
OTU_14	119	0	3	0	181	141	469	187	463	138	0	220	1	218	934	1047	55	736	252	41	54	577	355	60	259	215	109	131	149	2	442	186	28	1	180	134	159	647	168	455	334	0	0	449	720	28	4	81	159	115	418	0	477	0	183	121	116	0	0	0	121	96	0	83	104	45	1440	64	4	133	561	674	879	0	0	0	379	145	162	138	52	1342	64	1	17	3559	506	7	0	32	0	67	369	0	44	129	83	0	0	429	241	367	123	1	1180	194	21	690	1499	463	0	288	5612	584	116	196	0	473
