OTU ,Identity,Classification,
OTU_100,95%,Acetatifactor muris,
OTU_109,96%,Alistipes putredinis,
OTU_112,91%,Desulfovibrio arcticus,
OTU_124,97%,Clostridium viride,
OTU_130,92%,Acetatifactor muris,
OTU_134,100%,Alistipes timonensis,
OTU_191,97%,Ihubacter massiliensis,
OTU_2,95%,Alistipes senegalensis,
OTU_200,95%,Oscillibacter valericigenes,
OTU_282,97%,Lachnoclostridium pacaense,
OTU_37,96%,Ruminococcus lactaris,
OTU_470,98%,Flintibacter butyricus,
OTU_54,94%,Oscillibacter ruminantium,
OTU_62,94%,Clostridium asparagiforme,
OTU_69,92%,Odoribacter splanchnicus,
OTU_70,95%,Eubacterium coprostanoligenes,
OTU_75,86%,Millionella massilensis,
OTU_8,94%,Culturomica massiliensis,
OTU_85,96%,Murimonas intesini,
OTU_91,100%,Bacteroides acidifaciens,
