,T,TF,MeanDecreaseAccuracy,MeanDecreaseGini,features
1,0.018695437,0.006878887,0.009408235,0.802292491,OTU_91
2,0.013269925,0.008393331,0.009377464,0.94692183,OTU_324
3,0.009844677,0.008553255,0.008598194,0.672866358,OTU_8
4,0.010050966,0.007951927,0.008418505,0.780542716,OTU_51
5,0.009860022,0.006804175,0.007409609,0.637180607,OTU_326
6,0.013285057,0.005062601,0.006951358,1.153664619,OTU_22
7,0.004054966,0.007319984,0.006497818,0.618714009,OTU_628
8,0.010708946,0.005022101,0.006251455,0.790545977,OTU_90
9,0.006774707,0.005103345,0.005578391,0.488113927,OTU_1233
10,0.010354017,0.003578508,0.004997754,0.740540529,OTU_131
11,0.007275703,0.004333175,0.004979878,1.153400248,OTU_10
12,0.00768719,0.004451273,0.004797062,0.595368535,OTU_385
13,0.00496813,0.004464112,0.00463185,0.518711478,OTU_86
14,0.005103682,0.003904111,0.00409836,0.489679034,OTU_344
15,0.001909645,0.004812382,0.004096449,0.525365492,OTU_129
16,0.004652624,0.003850664,0.004068777,0.591708154,OTU_374
17,0.007155142,0.002786131,0.003681653,0.663468535,OTU_820
18,0.008649706,0.002222284,0.003557881,0.699715497,OTU_23
19,0.003707542,0.003243052,0.003386645,0.404179378,OTU_89
20,0.006632478,0.002406301,0.003311844,0.567972825,OTU_163
21,0.006957774,0.002036064,0.003148119,0.394669387,OTU_30
22,0.002184592,0.003056919,0.002971934,0.669890796,OTU_4
23,0.001469954,0.003105713,0.002671808,0.185192145,OTU_343
24,0.00325366,0.002390961,0.002533592,0.23948575,OTU_31
25,0.003541424,0.002320227,0.002523423,0.342934815,OTU_500
26,0.000448094,0.003289006,0.002500907,0.504780588,OTU_75
27,0.006108108,0.001543187,0.002437057,0.546912982,OTU_70
28,0.002032847,0.002528711,0.002388259,0.279867707,OTU_9
29,0.002070858,0.00258626,0.002338994,0.293978051,OTU_46
30,0.001328642,0.002563477,0.00226318,0.211194605,OTU_28
31,0.003855326,0.00189964,0.002258316,0.159478828,OTU_104
32,0.00214362,0.002217962,0.002227771,0.213222687,OTU_370
33,0.002043117,0.002103574,0.002125713,0.35762107,OTU_103
34,0.004188908,0.001418306,0.002066571,0.304935041,OTU_76
35,0.00349503,0.001410436,0.001988412,0.362580278,OTU_47
36,0.001217357,0.002003426,0.001983709,0.410157056,OTU_126
37,0.000895179,0.002229883,0.001972633,0.294428254,OTU_44
38,0.00196514,0.001852064,0.001914203,0.516267681,OTU_2
39,0.004014548,0.001229244,0.00189274,0.394027718,OTU_12
40,0.002847064,0.001567685,0.001892478,0.495984835,OTU_167
41,0.001682372,0.001900506,0.001884285,0.412957505,OTU_286
42,0.002508691,0.001795447,0.001878183,0.255187084,OTU_15
43,0.001972246,0.001522955,0.001757736,0.177151185,OTU_114
44,0.003374132,0.001300489,0.001684019,0.382327334,OTU_583
45,0.001100383,0.001700154,0.001612185,0.176551114,OTU_109
46,0.000917113,0.001697124,0.001514523,0.366632602,OTU_1
47,0.003422858,0.00103875,0.001498251,0.171283056,OTU_467
48,0.001367323,0.001431213,0.001439519,0.234033946,OTU_108
49,0.001661412,0.001204191,0.001378739,0.265736934,OTU_680
50,0.003941368,0.000579018,0.00137594,0.247379625,OTU_53
51,0.000859392,0.001546683,0.001363138,0.262576389,OTU_11
52,0.001373588,0.00123203,0.001345173,0.291758924,OTU_136
53,0.000265486,0.001563495,0.001335484,0.157889827,OTU_78
54,0.001036023,0.001419644,0.001310916,0.155255923,OTU_33
55,0.000871013,0.001367021,0.001265909,0.185728039,OTU_50
56,0.002180343,0.001018962,0.00117048,0.249490932,OTU_897
57,0.00160018,0.000829094,0.001148823,0.308473674,OTU_55
58,0.002428305,0.000721491,0.001132105,0.118315762,OTU_19
59,0.000270815,0.001274096,0.001099172,0.305761839,OTU_57
60,0.001451138,0.000959695,0.001023499,0.137741648,OTU_198
61,0.001893975,0.000692709,0.000999441,0.329824704,OTU_25
62,-0.000580513,0.001379713,0.000991791,0.201018613,OTU_346
63,0.003098321,0.000380502,0.000981566,0.335596766,OTU_35
64,0.001497172,0.000737774,0.000928774,0.22425408,OTU_73
65,0.003527937,0.000220675,0.000913645,0.408336511,OTU_20
66,0.001676107,0.000685121,0.000911405,0.324119156,OTU_64
67,0.002386081,0.000345646,0.000886485,0.171125122,OTU_504
68,0.002671857,0.000469305,0.000881824,0.166686978,OTU_486
69,-6.80E-05,0.001231208,0.000870533,0.204768932,OTU_83
70,-0.000170172,0.00115982,0.000863163,0.106222718,OTU_79
71,0.000708373,0.000853396,0.000839497,0.074577261,OTU_428
72,0.001368813,0.000698144,0.000837972,0.150749087,OTU_327
73,0.000703355,0.000779394,0.000805094,0.082869134,OTU_348
74,0.004971991,-0.000475786,0.000800197,0.162453977,OTU_141
75,0.000381056,0.000857426,0.000792204,0.070197308,OTU_134
76,0.00035643,0.00091905,0.00079107,0.067331565,OTU_84
77,0.000693058,0.0008099,0.00078211,0.108113589,OTU_49
78,-0.000610035,0.001155596,0.000758562,0.083371991,OTU_414
79,0.002874122,0.000128694,0.000752593,0.205479855,OTU_99
80,0.000352074,0.000897855,0.000743272,0.180693387,OTU_77
81,0.000228381,0.000781595,0.000722414,0.203631865,OTU_24
82,-0.001004219,0.001230814,0.000712551,0.157520733,OTU_98
83,-0.002148201,0.001562211,0.000699704,0.160025858,OTU_121
84,0.001582477,0.000465687,0.000696602,0.126212404,OTU_924
85,8.67E-05,0.000854772,0.000695227,0.073821451,OTU_140
86,0.001190548,0.000521233,0.000693376,0.174220984,OTU_586
87,-0.00020483,0.000943476,0.00068434,0.20533551,OTU_183
88,0.001902566,0.000375819,0.000661578,0.186610198,OTU_18
89,0.000659152,0.000622941,0.000646879,0.143458398,OTU_381
90,0.000780978,0.000620472,0.000645179,0.142289096,OTU_384
91,0.000472216,0.0006515,0.000645048,0.124427172,OTU_16
92,0.000199955,0.00069571,0.000622248,0.061361177,OTU_124
93,0.000340589,0.000720207,0.000616031,0.131656126,OTU_54
94,0.001164338,0.000436891,0.000610764,0.054648071,OTU_133
95,-0.001297549,0.001188206,0.000610652,0.138223256,OTU_113
96,-0.000896376,0.001021827,0.000600071,0.134658484,OTU_125
97,-0.000702441,0.000997463,0.000591216,0.136512985,OTU_5
98,0.001356162,0.000430587,0.000586482,0.185387522,OTU_622
99,0.000584545,0.000508368,0.000538039,0.128689568,OTU_646
100,0.000103091,0.000731094,0.000537526,0.107895274,OTU_432
101,-1.73E-05,0.000778087,0.000531232,0.284366513,OTU_65
102,0.002032111,0.000245633,0.000530687,0.205080576,OTU_429
103,0.001436881,0.000366143,0.000518822,0.18795673,OTU_59
104,-0.000820581,0.000878009,0.000504486,0.052935381,OTU_388
105,0.001313535,0.000227519,0.000503929,0.097434785,OTU_144
106,-0.000114301,0.000564763,0.000464239,0.081410004,OTU_537
107,6.57E-06,0.000497764,0.000461696,0.148136819,OTU_386
108,0.001763401,2.09E-05,0.000460407,0.073009005,OTU_501
109,0.000537021,0.000469874,0.000453897,0.123664221,OTU_66
110,-0.000532269,0.000703629,0.000426997,0.243076474,OTU_32
111,0.000194848,0.000377498,0.00042359,0.086204435,OTU_69
112,-0.000230774,0.000568614,0.000414742,0.100829006,OTU_485
113,-0.000294671,0.000676921,0.000414539,0.080993957,OTU_463
114,0.000212396,0.000608342,0.000406312,0.061419576,OTU_105
115,0.000861769,0.00031934,0.000402859,0.071845941,OTU_56
116,0.000228065,0.00034441,0.000388223,0.116070306,OTU_145
117,-0.000325418,0.000596406,0.000384885,0.188628877,OTU_14
118,-0.001056661,0.000801973,0.000331409,0.206860608,OTU_45
119,0.000461005,0.000207664,0.000324233,0.177771042,OTU_100
120,0.000865801,0.00011988,0.000314779,0.081138672,OTU_81
121,0.000176631,0.000382794,0.000314067,0.136018201,OTU_162
122,0.00104406,0.000232485,0.000300038,0.278497994,OTU_29
123,0.000266998,0.000335986,0.00029549,0.131235566,OTU_71
124,0.000395313,0.000219647,0.000291546,0.128604671,OTU_745
125,-0.000365071,0.000530652,0.000283249,0.097288393,OTU_87
126,0.001328656,-5.25E-05,0.00027699,0.151099926,OTU_137
127,-0.000876026,0.000618859,0.000265054,0.094767616,OTU_405
128,9.51E-05,0.000259776,0.000252236,0.103700682,OTU_236
129,-0.000199601,0.000325689,0.000238918,0.042158761,OTU_785
130,0.000100808,0.000269106,0.00023889,0.073611557,OTU_34
131,-0.001639578,0.000653647,0.000229715,0.111093512,OTU_373
132,0.000727666,6.44E-05,0.000229434,0.134987089,OTU_309
133,-0.000449102,0.000408528,0.000228294,0.075286979,OTU_156
134,0.000338212,0.000180976,0.000224613,0.078452385,OTU_142
135,0.000379472,0.000246774,0.000221462,0.141020788,OTU_68
136,-0.00089801,0.000602958,0.000218135,0.111995528,OTU_80
137,0.000335044,0.000194902,0.000213708,0.050978462,OTU_505
138,0.0004293,0.000145937,0.000209415,0.029737279,OTU_176
139,0.000569568,0.0001679,0.000196538,0.13668645,OTU_6
140,-0.000188512,0.000347331,0.000194628,0.103642626,OTU_3
141,0.000826918,8.07E-06,0.000189564,0.062995706,OTU_115
142,1.28E-05,0.000234446,0.000181049,0.077564643,OTU_36
143,-0.000199601,0.000311403,0.000176345,0.119714804,OTU_96
144,-0.000243957,0.000319622,0.00017554,0.036630001,OTU_52
145,-0.001796623,0.000809328,0.000160947,0.130343443,OTU_85
146,0.00028356,7.70E-05,0.000142681,0.22120328,OTU_496
147,0.000666178,1.94E-05,0.000132996,0.126149357,OTU_793
148,-0.000332668,0.000310117,0.000132503,0.0738443,OTU_111
149,0.000228979,2.85E-05,0.000124416,0.105600537,OTU_132
150,3.32E-05,0.000147271,0.000112351,0.140816523,OTU_26
151,0.002005624,-0.000458195,0.000108799,0.074357594,OTU_444
152,-0.000285144,0.000171086,0.000100484,0.068936339,OTU_120
153,0.000323784,1.41E-05,9.36E-05,0.15522085,OTU_122
154,0.000435637,-8.31E-05,8.21E-05,0.060176353,OTU_154
155,-0.000418161,0.000222203,7.90E-05,0.072766902,OTU_42
156,0.000450902,-4.67E-05,7.60E-05,0.128511067,OTU_43
157,0.000203633,-1.84E-05,4.80E-05,0.080099917,OTU_88
158,-0.000249501,0.000140395,4.59E-05,0.068078092,OTU_7
159,-0.000744543,0.000203367,4.54E-05,0.096198007,OTU_13
160,0.000281256,1.27E-05,3.80E-05,0.058110551,OTU_40
161,-0.00075808,0.000262521,2.75E-05,0.131948385,OTU_296
162,0.000484745,-0.000124592,3.24E-06,0.085767378,OTU_58
163,-0.001449482,0.000356855,-2.00E-06,0.081113816,OTU_335
164,-0.000433089,0.000210492,-1.46E-05,0.084261554,OTU_147
165,-0.000588506,0.000114024,-1.79E-05,0.096714395,OTU_82
166,-0.000103883,4.65E-05,-2.22E-05,0.052432054,OTU_673
167,-0.000266134,9.50E-05,-2.54E-05,0.110853649,OTU_94
168,0.000166334,-7.56E-05,-3.28E-05,0.07379438,OTU_48
169,0.001080955,-0.000338824,-6.90E-05,0.107339512,OTU_815
170,-0.000365547,2.61E-05,-6.92E-05,0.19448401,OTU_455
171,-1.81E-05,-0.000121387,-8.88E-05,0.081206289,OTU_38
172,-0.001289047,0.000213735,-9.97E-05,0.118284202,OTU_259
173,-0.001425936,0.000411677,-0.000125843,0.095777975,OTU_39
174,-0.000665336,4.83E-05,-0.000162933,0.056536078,OTU_160
175,6.65E-05,-0.000251513,-0.000185876,0.034738484,OTU_17
176,-0.000634985,-6.05E-05,-0.000192537,0.091354583,OTU_62
177,-0.004304389,0.00076662,-0.000322741,0.179568683,OTU_102
178,-0.000371529,-0.000363617,-0.000323774,0.080507448,OTU_249
179,-0.001455098,-1.44E-06,-0.00034701,0.084954109,OTU_63
180,-0.000119876,-0.000288834,-0.000366097,0.116617527,OTU_21
181,-0.000858132,-0.000257739,-0.000403085,0.171264878,OTU_67
